biochemical_change,total_variants,variants_with_any_failure,failure_rate,avg_predictors_failed
aromatic -> aromatic/polar,18,10,0.5555555555555556,1.0555555555555556
aromatic -> hydrophobic,243,107,0.4403292181069959,0.9218106995884774
aromatic -> polar,88,34,0.38636363636363635,0.9431818181818182
aromatic -> polar/sulfur,88,33,0.375,0.9772727272727273
aromatic -> positive,76,17,0.2236842105263158,0.5921052631578947
aromatic -> small/nonpolar,23,6,0.2608695652173913,0.6086956521739131
aromatic/polar -> aromatic,32,19,0.59375,1.28125
aromatic/polar -> negative,43,10,0.23255813953488372,0.27906976744186046
aromatic/polar -> polar,58,31,0.5344827586206896,1.4310344827586208
aromatic/polar -> polar/sulfur,206,81,0.3932038834951456,0.8640776699029126
aromatic/polar -> positive/aromatic,85,38,0.4470588235294118,1.0941176470588236
hydrophobic -> aromatic,267,129,0.48314606741573035,0.9850187265917603
hydrophobic -> hydrophobic,1891,838,0.44315177154944474,0.8281332628239026
hydrophobic -> negative,79,29,0.3670886075949367,0.6329113924050633
hydrophobic -> polar,494,219,0.4433198380566802,0.8704453441295547
hydrophobic -> positive,221,87,0.3936651583710407,0.7873303167420814
hydrophobic -> positive/aromatic,20,10,0.5,1.5
hydrophobic -> small/nonpolar,267,114,0.42696629213483145,0.8726591760299626
hydrophobic -> special/rigid,326,106,0.32515337423312884,0.6871165644171779
negative -> aromatic/polar,80,36,0.45,0.95
negative -> hydrophobic,112,64,0.5714285714285714,1.1785714285714286
negative -> negative,221,74,0.334841628959276,0.5701357466063348
negative -> polar,402,206,0.5124378109452736,1.1169154228855722
negative -> positive,393,199,0.5063613231552163,0.9923664122137404
negative -> positive/aromatic,103,52,0.5048543689320388,1.1553398058252426
negative -> small/nonpolar,351,182,0.5185185185185185,1.017094017094017
polar -> aromatic,168,97,0.5773809523809523,1.3035714285714286
polar -> aromatic/polar,71,43,0.6056338028169014,1.1690140845070423
polar -> hydrophobic,744,363,0.4879032258064516,0.9973118279569892
polar -> negative,138,57,0.41304347826086957,0.6594202898550725
polar -> polar,741,307,0.4143049932523617,0.7813765182186235
polar -> polar/sulfur,85,56,0.6588235294117647,1.5294117647058822
polar -> positive,560,234,0.41785714285714287,0.7232142857142857
polar -> positive/aromatic,166,86,0.5180722891566265,0.963855421686747
polar -> small/nonpolar,452,187,0.413716814159292,0.7079646017699115
polar -> special/rigid,306,147,0.4803921568627451,0.8758169934640523
polar/sulfur -> aromatic,110,26,0.23636363636363636,0.39090909090909093
polar/sulfur -> aromatic/polar,163,37,0.22699386503067484,0.44785276073619634
polar/sulfur -> polar,72,23,0.3194444444444444,0.8611111111111112
polar/sulfur -> positive,168,40,0.23809523809523808,0.39285714285714285
polar/sulfur -> small/nonpolar,52,9,0.17307692307692307,0.5
positive -> aromatic,441,193,0.4376417233560091,0.9070294784580499
positive -> hydrophobic,251,119,0.47410358565737054,1.0398406374501992
positive -> negative,131,50,0.3816793893129771,0.7480916030534351
positive -> polar,1049,489,0.4661582459485224,0.9637750238322211
positive -> polar/sulfur,578,280,0.4844290657439446,1.0588235294117647
positive -> positive,247,117,0.47368421052631576,0.9311740890688259
positive -> positive/aromatic,663,300,0.45248868778280543,0.9396681749622926
positive -> small/nonpolar,175,90,0.5142857142857142,1.0514285714285714
positive -> special/rigid,213,112,0.5258215962441315,1.0892018779342723
positive/aromatic -> aromatic/polar,83,37,0.4457831325301205,0.891566265060241
positive/aromatic -> hydrophobic,33,17,0.5151515151515151,0.8787878787878788
positive/aromatic -> negative,37,23,0.6216216216216216,1.2702702702702702
positive/aromatic -> polar,101,40,0.39603960396039606,0.7623762376237624
positive/aromatic -> positive,192,66,0.34375,0.703125
positive/aromatic -> special/rigid,45,23,0.5111111111111111,0.9777777777777777
small/nonpolar -> aromatic,38,13,0.34210526315789475,0.8947368421052632
small/nonpolar -> hydrophobic,683,300,0.43923865300146414,0.8828696925329429
small/nonpolar -> negative,574,212,0.3693379790940767,0.7787456445993032
small/nonpolar -> polar,921,370,0.4017372421281216,0.8403908794788274
small/nonpolar -> polar/sulfur,89,24,0.2696629213483146,0.5617977528089888
small/nonpolar -> positive,490,138,0.2816326530612245,0.673469387755102
small/nonpolar -> small/nonpolar,225,127,0.5644444444444444,1.2133333333333334
small/nonpolar -> special/rigid,155,72,0.4645161290322581,0.9032258064516129
special/rigid -> hydrophobic,471,213,0.45222929936305734,0.9872611464968153
special/rigid -> polar,464,217,0.4676724137931034,0.9202586206896551
special/rigid -> positive,136,67,0.49264705882352944,1.2205882352941178
special/rigid -> positive/aromatic,58,36,0.6206896551724138,1.5
special/rigid -> small/nonpolar,138,78,0.5652173913043478,1.1521739130434783
