Gene,total_variants,variants_with_any_failure,any_failure_rate,avg_predictors_failed,SIFT_failure_rate,PolyPhen_failure_rate,CADD_failure_rate,REVEL_failure_rate
AAK1,2,2,1.0,2.0,0.5,0.5,1.0,0.0
AAMDC,1,1,1.0,3.0,1.0,1.0,1.0,0.0
AARD,1,0,0.0,0.0,0.0,0.0,0.0,0.0
AARS1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
AARS2,4,2,0.5,1.25,0.5,0.25,0.25,0.25
AASDH,4,1,0.25,0.25,0.25,0.0,0.0,0.0
AATK,3,2,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0
ABCA1,25,19,0.76,2.16,0.48,0.4,0.68,0.6
ABCA10,3,0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA12,5,2,0.4,1.4,0.4,0.4,0.4,0.2
ABCA13,4,2,0.5,0.5,0.5,0.0,0.0,0.0
ABCA3,3,0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA4,102,39,0.38235294117647056,0.7254901960784313,0.20588235294117646,0.27450980392156865,0.14705882352941177,0.09803921568627451
ABCA5,3,1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
ABCA6,2,1,0.5,0.5,0.5,0.0,0.0,0.0
ABCA7,2,2,1.0,1.0,0.5,0.5,0.0,0.0
ABCA8,1,0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA9,4,2,0.5,1.25,0.5,0.5,0.25,0.0
ABCB1,10,6,0.6,1.4,0.5,0.2,0.5,0.2
ABCB10,1,1,1.0,4.0,1.0,1.0,1.0,1.0
ABCB4,17,10,0.5882352941176471,1.3529411764705883,0.47058823529411764,0.35294117647058826,0.23529411764705882,0.29411764705882354
ABCB6,4,4,1.0,2.25,0.25,0.75,0.75,0.5
ABCB7,2,0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC1,5,3,0.6,1.4,0.4,0.4,0.6,0.0
ABCC11,5,4,0.8,2.0,0.6,0.8,0.2,0.4
ABCC12,1,0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC3,2,1,0.5,2.0,0.5,0.5,0.5,0.5
ABCC4,7,4,0.5714285714285714,1.4285714285714286,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.2857142857142857
ABCC6,41,10,0.24390243902439024,0.6585365853658537,0.1951219512195122,0.1951219512195122,0.14634146341463414,0.12195121951219512
ABCC8,32,15,0.46875,0.65625,0.25,0.15625,0.0625,0.1875
ABCC9,4,2,0.5,0.75,0.25,0.5,0.0,0.0
ABCD1,29,1,0.034482758620689655,0.13793103448275862,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655
ABCD4,1,0,0.0,0.0,0.0,0.0,0.0,0.0
ABCG2,10,5,0.5,0.8,0.1,0.1,0.5,0.1
ABCG8,3,1,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0
ABHD12,1,1,1.0,1.0,0.0,0.0,1.0,0.0
ABHD12B,1,1,1.0,3.0,1.0,1.0,1.0,0.0
ABHD16B,1,1,1.0,3.0,1.0,1.0,1.0,0.0
ABHD5,1,1,1.0,4.0,1.0,1.0,1.0,1.0
