biochemical_change,total_variants,variants_with_any_failure,failure_rate,avg_predictors_failed
polar -> polar/sulfur,85,56,0.6588235294117647,1.5294117647058822
positive/aromatic -> negative,37,23,0.6216216216216216,1.2702702702702702
special/rigid -> positive/aromatic,58,36,0.6206896551724138,1.5
polar -> aromatic/polar,71,43,0.6056338028169014,1.1690140845070423
aromatic/polar -> aromatic,32,19,0.59375,1.28125
polar -> aromatic,168,97,0.5773809523809523,1.3035714285714286
negative -> hydrophobic,112,64,0.5714285714285714,1.1785714285714286
special/rigid -> small/nonpolar,138,78,0.5652173913043478,1.1521739130434783
small/nonpolar -> small/nonpolar,225,127,0.5644444444444444,1.2133333333333334
aromatic -> aromatic/polar,18,10,0.5555555555555556,1.0555555555555556
aromatic/polar -> polar,58,31,0.5344827586206896,1.4310344827586208
positive -> special/rigid,213,112,0.5258215962441315,1.0892018779342723
negative -> small/nonpolar,351,182,0.5185185185185185,1.017094017094017
polar -> positive/aromatic,166,86,0.5180722891566265,0.963855421686747
positive/aromatic -> hydrophobic,33,17,0.5151515151515151,0.8787878787878788
