Disease,total_variants,variants_with_any_failure,failure_rate,avg_predictors_failed,SIFT_failure_rate,PolyPhen_failure_rate,CADD_failure_rate,REVEL_failure_rate
"Familial Mediterranean fever, autosomal recessive (ARFMF) [MIM:249100]",13,12,0.9230769230769231,2.6923076923076925,0.5384615384615384,0.5384615384615384,0.8461538461538461,0.7692307692307693
"Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia (ALS6) [MIM:608030]",8,7,0.875,1.375,0.375,0.75,0.125,0.125
Parkinson disease 8 (PARK8) [MIM:607060],13,11,0.8461538461538461,1.8461538461538463,0.5384615384615384,0.38461538461538464,0.3076923076923077,0.6153846153846154
Retinitis pigmentosa 25 (RP25) [MIM:602772],6,5,0.8333333333333334,2.6666666666666665,0.5,0.6666666666666666,0.6666666666666666,0.8333333333333334
Medulloblastoma (MDB) [MIM:155255],6,5,0.8333333333333334,2.1666666666666665,0.5,0.5,0.3333333333333333,0.8333333333333334
Hereditary non-polyposis colorectal cancer 7 (HNPCC7) [MIM:614385],5,4,0.8,2.6,0.6,0.6,0.6,0.8
"Pancreatitis, hereditary (PCTT) [MIM:167800]",10,8,0.8,2.3,0.6,0.7,0.5,0.5
Juvenile myoclonic epilepsy 1 (EJM1) [MIM:254770],5,4,0.8,2.2,0.4,0.8,0.2,0.8
Retinitis pigmentosa 39 (RP39) [MIM:613809],5,4,0.8,1.6,0.6,0.4,0.4,0.2
"Albinism, oculocutaneous, 1B (OCA1B) [MIM:606952]",5,4,0.8,1.2,0.6,0.4,0.2,0.0
