Gene,total_variants,variants_with_any_failure,any_failure_rate,avg_predictors_failed,SIFT_failure_rate,PolyPhen_failure_rate,CADD_failure_rate,REVEL_failure_rate
PROC,8,8,1.0,3.75,0.875,1.0,1.0,0.875
PRSS1,6,6,1.0,3.1666666666666665,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666
FGA,6,6,1.0,3.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6666666666666666
DNASE1,5,5,1.0,3.0,1.0,0.8,0.8,0.4
GRM8,5,5,1.0,2.8,0.6,0.4,1.0,0.8
ALDOA,5,5,1.0,2.6,0.6,0.6,0.8,0.6
DNAJC13,7,7,1.0,2.5714285714285716,0.42857142857142855,0.7142857142857143,1.0,0.42857142857142855
SMG1,7,7,1.0,2.5714285714285716,0.7142857142857143,0.7142857142857143,1.0,0.14285714285714285
HBD,9,9,1.0,2.4444444444444446,1.0,0.4444444444444444,0.3333333333333333,0.6666666666666666
BCR,5,5,1.0,2.4,0.6,0.6,1.0,0.2
